variant,model_id,outcome,formula,term,term_block,coefficient_log_odds,standard_error_hc1,z_value,p_value,odds_ratio,odds_ratio_ci_lower,odds_ratio_ci_upper,n_orders,converged,irls_iterations
primary,A,low_review_2,"low_review_2 ~ cr(actual_delivery_days, df=4, constraints=""center"") + C(purchase_month_adjustment, Treatment(reference=""2018-01""))",Intercept,Intercept,-2.15133606973,0.0383343029444,-56.1203909942,0,0.116328630737,0.107908684556,0.125405572172,95824,True,6
primary,A,low_review_2,"low_review_2 ~ cr(actual_delivery_days, df=4, constraints=""center"") + C(purchase_month_adjustment, Treatment(reference=""2018-01""))","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-01]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))",0.00256471639014,0.129469128267,0.0198094821867,0.984195353677,1.00256800809,0.777874474133,1.2921655669,95824,True,6
primary,A,low_review_2,"low_review_2 ~ cr(actual_delivery_days, df=4, constraints=""center"") + C(purchase_month_adjustment, Treatment(reference=""2018-01""))","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-02]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))",-0.113972857503,0.0916462548326,-1.24361718557,0.213640488107,0.89228217432,0.745577482711,1.06785343854,95824,True,6
primary,A,low_review_2,"low_review_2 ~ cr(actual_delivery_days, df=4, constraints=""center"") + C(purchase_month_adjustment, Treatment(reference=""2018-01""))","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-03]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))",-0.0858727138505,0.0783341346351,-1.09623619704,0.272975422792,0.91771103569,0.787096204092,1.07000077074,95824,True,6
primary,A,low_review_2,"low_review_2 ~ cr(actual_delivery_days, df=4, constraints=""center"") + C(purchase_month_adjustment, Treatment(reference=""2018-01""))","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-04]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))",-0.0852837747964,0.0761211858519,-1.12036844726,0.262556784994,0.918251670744,0.790983194346,1.06599752922,95824,True,6
primary,A,low_review_2,"low_review_2 ~ cr(actual_delivery_days, df=4, constraints=""center"") + C(purchase_month_adjustment, Treatment(reference=""2018-01""))","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-05]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))",-0.0411519572484,0.069339849989,-0.593482063415,0.552858583325,0.959683288035,0.837733233812,1.09938579032,95824,True,6
primary,A,low_review_2,"low_review_2 ~ cr(actual_delivery_days, df=4, constraints=""center"") + C(purchase_month_adjustment, Treatment(reference=""2018-01""))","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-06]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))",-0.0260137676851,0.0717441640436,-0.362590714267,0.71691064783,0.974321675362,0.84651297872,1.12142725622,95824,True,6
primary,A,low_review_2,"low_review_2 ~ cr(actual_delivery_days, df=4, constraints=""center"") + C(purchase_month_adjustment, Treatment(reference=""2018-01""))","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-07]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))",-0.109582499695,0.0685425386675,-1.59875169239,0.109875786707,0.896208224407,0.783547646314,1.025067442,95824,True,6
primary,A,low_review_2,"low_review_2 ~ cr(actual_delivery_days, df=4, constraints=""center"") + C(purchase_month_adjustment, Treatment(reference=""2018-01""))","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-08]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))",-0.129104164494,0.0667610056945,-1.93382593853,0.0531345324835,0.878882412435,0.771087570674,1.00174652564,95824,True,6
primary,A,low_review_2,"low_review_2 ~ cr(actual_delivery_days, df=4, constraints=""center"") + C(purchase_month_adjustment, Treatment(reference=""2018-01""))","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-09]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))",-0.076413795645,0.0655569619828,-1.16560916391,0.24377250106,0.926432773386,0.814726275801,1.05345526356,95824,True,6
primary,A,low_review_2,"low_review_2 ~ cr(actual_delivery_days, df=4, constraints=""center"") + C(purchase_month_adjustment, Treatment(reference=""2018-01""))","C(purchase_month_adjustment, Treatment(reference=""2018-01""))[T.2017-10]","C(purchase_month_adjustment, Treatment(reference=""2018-01""))",0.00504618826959,0.0624093793003,0.0808562483101,0.935556274777,1.00505894172,0.88934152694,1.13583302447,95824,True,6
