task,family,model_family,comparison,candidate_model,candidate_specification,reference_model,reference_specification,representation,later_month_count,primary_evidence_available,median_delta_log_loss,median_delta_brier,both_improved_month_count,high_support_guard_available,high_support_median_delta_log_loss,high_support_median_delta_brier,high_support_material_reversal,high_support_no_material_reversal,calibration_guard_available,median_delta_wace,median_delta_absolute_calibration_slope_error,calibration_not_systematically_worse,calibration_systematically_worse,score_guard_available,score_only_median_delta_log_loss,full_beats_metadata_log_loss,full_no_metadata_brier_worsening,score_contributes,benefit_not_metadata_only,all_guards_available,all_guards_pass,evidence_status,evidence_label,evidence_reason,label_namespace,evidence_role,outcome,profile_block,specification,quantile,median_skill,favourable_month_count,high_support_median_skill,high_support_favourable_month_count,support_ge20_gain_present,high_support_guard,gain_only_low_support,coverage_guard_available,median_absolute_coverage_error_deterioration,coverage_not_materially_worse,coverage_materially_worse
breach,logistic_l2,logistic_l2,DPB-DP0,DPB,DPB,DP0,DP0,full,6,True,-0.0188355042404,-0.00146902299902,5,True,-0.0178964373712,-0.00140057680524,False,True,True,-0.0166763314017,-3.63404763384,True,False,True,-0.0194931043395,True,False,True,True,True,True,Supported,Supported,both_medians_improve_at_least_four_months_all_guards_pass,RQ3_direct_order_evidence,primary_direct_operational_estimand,breach_probability,both,DPB,,,,,,,,,,,,
breach,logistic_l2,logistic_l2,DPG-DP0,DPG,DPG,DP0,DP0,full,6,True,-0.0126256584508,-0.000678203167734,3,True,-0.0125311675792,-0.000651481391294,False,True,True,-0.0113356271504,-3.47809936608,True,False,True,-0.0132700613425,True,False,True,True,True,True,Mixed,Mixed,exactly_three_both_improved_months,RQ3_direct_order_evidence,primary_direct_operational_estimand,breach_probability,state_od,DPG,,,,,,,,,,,,
breach,logistic_l2,logistic_l2,DPS-DP0,DPS,DPS,DP0,DP0,full,6,True,-0.00415653020117,-0.00047411302235,6,True,-0.00388823165404,-0.000390794822282,False,True,True,-0.00754606386358,-3.46107307636,True,False,True,-0.00375374505547,True,True,True,True,True,True,Supported,Supported,both_medians_improve_at_least_four_months_all_guards_pass,RQ3_direct_order_evidence,primary_direct_operational_estimand,breach_probability,seller,DPS,,,,,,,,,,,,
breach,xgboost,xgboost,DPB-DP0,DPB,DPB,DP0,DP0,full,6,True,-0.00229967244447,-0.000293696109202,5,True,-0.0021127497292,-0.000266410356161,False,True,True,0.00431574578376,2.43431455748,False,True,True,-0.00345421615059,True,True,True,True,True,False,Mixed,Mixed,required_guard_unavailable_or_failed,RQ3_direct_order_evidence,primary_direct_operational_estimand,breach_probability,both,DPB,,,,,,,,,,,,
breach,xgboost,xgboost,DPG-DP0,DPG,DPG,DP0,DP0,full,6,True,-0.00197620878246,-0.00026123594082,5,True,-0.00209210496204,-0.000278590971538,False,True,True,0.00361843907148,0.978250023739,False,True,True,-0.00240607535493,False,False,True,True,True,False,Mixed,Mixed,required_guard_unavailable_or_failed,RQ3_direct_order_evidence,primary_direct_operational_estimand,breach_probability,state_od,DPG,,,,,,,,,,,,
breach,xgboost,xgboost,DPS-DP0,DPS,DPS,DP0,DP0,full,6,True,-0.000144657998041,-1.96016143433e-05,5,True,-9.00338311444e-05,-1.56794437653e-05,False,True,True,-0.000743503690553,-2.55850693217,True,False,True,-0.000359882171151,True,False,True,True,True,True,Supported,Supported,both_medians_improve_at_least_four_months_all_guards_pass,RQ3_direct_order_evidence,primary_direct_operational_estimand,breach_probability,seller,DPS,,,,,,,,,,,,
severity,linear_quantile,linear_quantile,DQB-DQ0,DQB,DQB,DQ0,DQ0,full,6,True,,,,True,,,,,,,,,,,,,,,,True,False,Not-supported,Not-supported,nonpositive_median_skill_or_fewer_than_four_favourable_months,RQ3_direct_order_evidence,primary_direct_operational_estimand,conditional_positive_lateness,both,DQB,0.5,-0.00174129588923,2,-0.00465990824144,3,False,False,True,True,0.0119368318344,True,False
severity,linear_quantile,linear_quantile,DQG-DQ0,DQG,DQG,DQ0,DQ0,full,6,True,,,,True,,,,,,,,,,,,,,,,True,False,Not-supported,Not-supported,nonpositive_median_skill_or_fewer_than_four_favourable_months,RQ3_direct_order_evidence,primary_direct_operational_estimand,conditional_positive_lateness,state_od,DQG,0.5,-0.00502930204561,3,-0.00443833023516,3,False,False,True,True,0.0201086034278,True,False
severity,linear_quantile,linear_quantile,DQS-DQ0,DQS,DQS,DQ0,DQ0,full,6,True,,,,True,,,,,,,,,,,,,,,,True,False,Not-supported,Not-supported,nonpositive_median_skill_or_fewer_than_four_favourable_months,RQ3_direct_order_evidence,primary_direct_operational_estimand,conditional_positive_lateness,seller,DQS,0.5,0.000519832297006,3,-0.00279893963735,2,False,False,True,True,0.00107991360691,True,False
severity,linear_quantile,linear_quantile,DQB-DQ0,DQB,DQB,DQ0,DQ0,full,6,True,,,,True,,,,,,,,,,,,,,,,True,False,Not-supported,Not-supported,nonpositive_median_skill_or_fewer_than_four_favourable_months,RQ3_direct_order_evidence,primary_direct_operational_estimand,conditional_positive_lateness,both,DQB,0.9,-0.00513196219554,1,-0.00467413404641,2,False,False,True,True,0.00649359815921,True,False
