task,stage,model_family,family,specification,model_id,representation,quantile,cohort,origin,fold,n_train,n_evaluation,train_order_id_sha256,evaluation_order_id_sha256,test_order_id_sha256,parameters_json,numeric_features_json,categorical_features_json,ordered_feature_sha256,fitted_model_sha256,model_hash_type,best_iteration,source_model_frame_sha256,direct_config_sha256
breach,development_calibration_oof,logistic_l2,logistic_l2,DP0,DP0,full,,development_fold_1,2017-07-01,1,7904,6695,7836169560cf97ecc0364b862f32202640c5159d88f65c8e4152e5724792a6d8,d09128ed98505e62a36afab6ba0be1771d8f9f810e8cd4d77cb32230893faeb6,d09128ed98505e62a36afab6ba0be1771d8f9f810e8cd4d77cb32230893faeb6,"{""C"":10.0,""class_weight"":null,""max_iter"":1000,""penalty"":""l2"",""random_state"":20260823,""solver"":""liblinear""}","[""promised_delivery_days""]",[],66cc2d77e943d8c86206486126228139bfcf2b8dceb79a4918c6983dc0187373,bd9c89183dc404a26b6d982fade3def65949856481a18a06d7d158d90a50b0d5,sha256_pickle_protocol_5_fitted_wrapper,,a6d4ea5e457fb16115588bf96c200086a69b750e8b7b7ece1538846a303a71f3,b187add9d353488cbebc63ca4c13b0952335beab4347499cee5aecdb82fe6401
breach,development_calibration_oof,logistic_l2,logistic_l2,DPB,DPB,full,,development_fold_1,2017-07-01,1,7904,6695,7836169560cf97ecc0364b862f32202640c5159d88f65c8e4152e5724792a6d8,d09128ed98505e62a36afab6ba0be1771d8f9f810e8cd4d77cb32230893faeb6,d09128ed98505e62a36afab6ba0be1771d8f9f810e8cd4d77cb32230893faeb6,"{""C"":10.0,""class_weight"":null,""max_iter"":1000,""penalty"":""l2"",""random_state"":20260823,""solver"":""liblinear""}","[""promised_delivery_days"",""S1_score"",""S1_log1p_support"",""S1_cold_start"",""S1_posterior_se"",""S1_freshness_days"",""S2_score"",""S2_log1p_support"",""S2_cold_start"",""S2_posterior_se"",""S2_freshness_days"",""R1_score"",""R1_log1p_support"",""R1_cold_start"",""R1_posterior_se"",""R1_freshness_days"",""R2_score"",""R2_log1p_support"",""R2_cold_start"",""R2_posterior_se"",""R2_freshness_days""]",[],a0454aa702bc9350c7e026aecaf277c55a2b1f3ba8cdb7fc41bd7869195f33b0,3083187f72fe8efad6237c9a3a5d2ea526975abeabb5b7ce5573bfdb4caf7125,sha256_pickle_protocol_5_fitted_wrapper,,a6d4ea5e457fb16115588bf96c200086a69b750e8b7b7ece1538846a303a71f3,b187add9d353488cbebc63ca4c13b0952335beab4347499cee5aecdb82fe6401
breach,development_calibration_oof,logistic_l2,logistic_l2,DPG,DPG,full,,development_fold_1,2017-07-01,1,7904,6695,7836169560cf97ecc0364b862f32202640c5159d88f65c8e4152e5724792a6d8,d09128ed98505e62a36afab6ba0be1771d8f9f810e8cd4d77cb32230893faeb6,d09128ed98505e62a36afab6ba0be1771d8f9f810e8cd4d77cb32230893faeb6,"{""C"":10.0,""class_weight"":null,""max_iter"":1000,""penalty"":""l2"",""random_state"":20260823,""solver"":""liblinear""}","[""promised_delivery_days"",""R1_score"",""R1_log1p_support"",""R1_cold_start"",""R1_posterior_se"",""R1_freshness_days"",""R2_score"",""R2_log1p_support"",""R2_cold_start"",""R2_posterior_se"",""R2_freshness_days""]",[],55592a9c7809091ef26b0d7746c6992457e035aec9ee88f8469c73ec59a57b49,97b0ab6f89aebd4a9ecfd0fdc3acb5b7d9cd678a27866395a04282bfb6e0a229,sha256_pickle_protocol_5_fitted_wrapper,,a6d4ea5e457fb16115588bf96c200086a69b750e8b7b7ece1538846a303a71f3,b187add9d353488cbebc63ca4c13b0952335beab4347499cee5aecdb82fe6401
breach,development_calibration_oof,logistic_l2,logistic_l2,DPS,DPS,full,,development_fold_1,2017-07-01,1,7904,6695,7836169560cf97ecc0364b862f32202640c5159d88f65c8e4152e5724792a6d8,d09128ed98505e62a36afab6ba0be1771d8f9f810e8cd4d77cb32230893faeb6,d09128ed98505e62a36afab6ba0be1771d8f9f810e8cd4d77cb32230893faeb6,"{""C"":10.0,""class_weight"":null,""max_iter"":1000,""penalty"":""l2"",""random_state"":20260823,""solver"":""liblinear""}","[""promised_delivery_days"",""S1_score"",""S1_log1p_support"",""S1_cold_start"",""S1_posterior_se"",""S1_freshness_days"",""S2_score"",""S2_log1p_support"",""S2_cold_start"",""S2_posterior_se"",""S2_freshness_days""]",[],94151faa7df685010a340beef27998ed0590545d3c929a0e725a31e63da5100f,324c5113b1400c812bfd4318b56201d72680c347fa57d9a4deaff7559a1dcd84,sha256_pickle_protocol_5_fitted_wrapper,,a6d4ea5e457fb16115588bf96c200086a69b750e8b7b7ece1538846a303a71f3,b187add9d353488cbebc63ca4c13b0952335beab4347499cee5aecdb82fe6401
breach,development_calibration_oof,xgboost,xgboost,DP0,DP0,full,,development_fold_1,2017-07-01,1,7904,6695,7836169560cf97ecc0364b862f32202640c5159d88f65c8e4152e5724792a6d8,d09128ed98505e62a36afab6ba0be1771d8f9f810e8cd4d77cb32230893faeb6,d09128ed98505e62a36afab6ba0be1771d8f9f810e8cd4d77cb32230893faeb6,"{""colsample_bytree"":0.8,""eval_metric"":""logloss"",""learning_rate"":0.03,""max_depth"":3,""min_child_weight"":5.0,""n_estimators"":4,""n_jobs"":4,""objective"":""binary:logistic"",""random_state"":20260823,""reg_alpha"":0.0,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}","[""promised_delivery_days""]",[],66cc2d77e943d8c86206486126228139bfcf2b8dceb79a4918c6983dc0187373,645b29bed5c851de4e0c4e4ccc6133cf97a274908350aa07b22a58dbfa13922f,sha256_pickle_protocol_5_fitted_wrapper,,a6d4ea5e457fb16115588bf96c200086a69b750e8b7b7ece1538846a303a71f3,b187add9d353488cbebc63ca4c13b0952335beab4347499cee5aecdb82fe6401
breach,development_calibration_oof,xgboost,xgboost,DPB,DPB,full,,development_fold_1,2017-07-01,1,7904,6695,7836169560cf97ecc0364b862f32202640c5159d88f65c8e4152e5724792a6d8,d09128ed98505e62a36afab6ba0be1771d8f9f810e8cd4d77cb32230893faeb6,d09128ed98505e62a36afab6ba0be1771d8f9f810e8cd4d77cb32230893faeb6,"{""colsample_bytree"":0.8,""eval_metric"":""logloss"",""learning_rate"":0.03,""max_depth"":3,""min_child_weight"":5.0,""n_estimators"":4,""n_jobs"":4,""objective"":""binary:logistic"",""random_state"":20260823,""reg_alpha"":0.0,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}","[""promised_delivery_days"",""S1_score"",""S1_log1p_support"",""S1_cold_start"",""S1_posterior_se"",""S1_freshness_days"",""S2_score"",""S2_log1p_support"",""S2_cold_start"",""S2_posterior_se"",""S2_freshness_days"",""R1_score"",""R1_log1p_support"",""R1_cold_start"",""R1_posterior_se"",""R1_freshness_days"",""R2_score"",""R2_log1p_support"",""R2_cold_start"",""R2_posterior_se"",""R2_freshness_days""]",[],a0454aa702bc9350c7e026aecaf277c55a2b1f3ba8cdb7fc41bd7869195f33b0,aa38280936ab19260e0d468efd7060fc91b3046a49d01411e99513d03f839128,sha256_pickle_protocol_5_fitted_wrapper,,a6d4ea5e457fb16115588bf96c200086a69b750e8b7b7ece1538846a303a71f3,b187add9d353488cbebc63ca4c13b0952335beab4347499cee5aecdb82fe6401
breach,development_calibration_oof,xgboost,xgboost,DPG,DPG,full,,development_fold_1,2017-07-01,1,7904,6695,7836169560cf97ecc0364b862f32202640c5159d88f65c8e4152e5724792a6d8,d09128ed98505e62a36afab6ba0be1771d8f9f810e8cd4d77cb32230893faeb6,d09128ed98505e62a36afab6ba0be1771d8f9f810e8cd4d77cb32230893faeb6,"{""colsample_bytree"":0.8,""eval_metric"":""logloss"",""learning_rate"":0.03,""max_depth"":3,""min_child_weight"":5.0,""n_estimators"":4,""n_jobs"":4,""objective"":""binary:logistic"",""random_state"":20260823,""reg_alpha"":0.0,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}","[""promised_delivery_days"",""R1_score"",""R1_log1p_support"",""R1_cold_start"",""R1_posterior_se"",""R1_freshness_days"",""R2_score"",""R2_log1p_support"",""R2_cold_start"",""R2_posterior_se"",""R2_freshness_days""]",[],55592a9c7809091ef26b0d7746c6992457e035aec9ee88f8469c73ec59a57b49,491b1d7754a9cf4b47ed32bf065f5f0d6e5080114c1448b1b1cbabac7188b90d,sha256_pickle_protocol_5_fitted_wrapper,,a6d4ea5e457fb16115588bf96c200086a69b750e8b7b7ece1538846a303a71f3,b187add9d353488cbebc63ca4c13b0952335beab4347499cee5aecdb82fe6401
breach,development_calibration_oof,xgboost,xgboost,DPS,DPS,full,,development_fold_1,2017-07-01,1,7904,6695,7836169560cf97ecc0364b862f32202640c5159d88f65c8e4152e5724792a6d8,d09128ed98505e62a36afab6ba0be1771d8f9f810e8cd4d77cb32230893faeb6,d09128ed98505e62a36afab6ba0be1771d8f9f810e8cd4d77cb32230893faeb6,"{""colsample_bytree"":0.8,""eval_metric"":""logloss"",""learning_rate"":0.03,""max_depth"":3,""min_child_weight"":5.0,""n_estimators"":4,""n_jobs"":4,""objective"":""binary:logistic"",""random_state"":20260823,""reg_alpha"":0.0,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}","[""promised_delivery_days"",""S1_score"",""S1_log1p_support"",""S1_cold_start"",""S1_posterior_se"",""S1_freshness_days"",""S2_score"",""S2_log1p_support"",""S2_cold_start"",""S2_posterior_se"",""S2_freshness_days""]",[],94151faa7df685010a340beef27998ed0590545d3c929a0e725a31e63da5100f,a2bcb1aac22d4527893ccf2be9e88558d4c6b9670771019d24aefc1569328f75,sha256_pickle_protocol_5_fitted_wrapper,,a6d4ea5e457fb16115588bf96c200086a69b750e8b7b7ece1538846a303a71f3,b187add9d353488cbebc63ca4c13b0952335beab4347499cee5aecdb82fe6401
breach,development_calibration_oof,logistic_l2,logistic_l2,DP0,DP0,full,,development_fold_2,2017-09-01,2,15659,7062,7a815cb278e9123fd713e5c94e3ee08ad4602f7416e1c478f119b0e7621bdf6f,67c5b1ae5810ebeb89141c8c652aea51e30b40d843c2f57acdc8f2ad51610428,67c5b1ae5810ebeb89141c8c652aea51e30b40d843c2f57acdc8f2ad51610428,"{""C"":10.0,""class_weight"":null,""max_iter"":1000,""penalty"":""l2"",""random_state"":20260823,""solver"":""liblinear""}","[""promised_delivery_days""]",[],66cc2d77e943d8c86206486126228139bfcf2b8dceb79a4918c6983dc0187373,03396e9191acc74b4265b144544a7b172971d3616cc94b6181c5407537e2474e,sha256_pickle_protocol_5_fitted_wrapper,,a6d4ea5e457fb16115588bf96c200086a69b750e8b7b7ece1538846a303a71f3,b187add9d353488cbebc63ca4c13b0952335beab4347499cee5aecdb82fe6401
breach,development_calibration_oof,logistic_l2,logistic_l2,DPB,DPB,full,,development_fold_2,2017-09-01,2,15659,7062,7a815cb278e9123fd713e5c94e3ee08ad4602f7416e1c478f119b0e7621bdf6f,67c5b1ae5810ebeb89141c8c652aea51e30b40d843c2f57acdc8f2ad51610428,67c5b1ae5810ebeb89141c8c652aea51e30b40d843c2f57acdc8f2ad51610428,"{""C"":10.0,""class_weight"":null,""max_iter"":1000,""penalty"":""l2"",""random_state"":20260823,""solver"":""liblinear""}","[""promised_delivery_days"",""S1_score"",""S1_log1p_support"",""S1_cold_start"",""S1_posterior_se"",""S1_freshness_days"",""S2_score"",""S2_log1p_support"",""S2_cold_start"",""S2_posterior_se"",""S2_freshness_days"",""R1_score"",""R1_log1p_support"",""R1_cold_start"",""R1_posterior_se"",""R1_freshness_days"",""R2_score"",""R2_log1p_support"",""R2_cold_start"",""R2_posterior_se"",""R2_freshness_days""]",[],a0454aa702bc9350c7e026aecaf277c55a2b1f3ba8cdb7fc41bd7869195f33b0,4d2ee30559fa70fb5c73561f9319092393d9a40bbf5a1c99c578c0c8319ed5e5,sha256_pickle_protocol_5_fitted_wrapper,,a6d4ea5e457fb16115588bf96c200086a69b750e8b7b7ece1538846a303a71f3,b187add9d353488cbebc63ca4c13b0952335beab4347499cee5aecdb82fe6401
